Team_Year,Unique_Identifier,Conference,Year,Overall_Rank,Wins,Loss,AdjO,AdjD,AdjT,Luck,Strength_of_Schedule_Opp_O,Strength_of_Schedule_Opp_D,Opp_2P,Opp_3P,Opp_FT,Defense_Blk,Defense_Stl,Opp_NST,Opp_A,Opp_3P_Attempts,Off_2P,Off_3P,Off_FT,Off_Blk,Off_Stl,Off_NST,Off_A,Off_3P_Attempts,Off_eFG,Off_TO,Off_Reb,Off_FT_Rate,Opp_eFG,Opp_TO,Def_Reb,Opp_FT_Rate,Avg_Height,Experience,Bench,Continuity
Austin Peay 2014,19,OVC,2014,287,12,18,99.6,111.2,68.9,0.012,103.9,110.6,52.7,36.2,74.2,13.5,9.4,10.5,56.7,35.2,53.5,33.5,67.4,8.6,10.7,10.6,54.3,27.6,52.6,21.4,29.6,49.3,53.3,19.9,35.1,34.9,76,1.97,29.3,56
Morgan St. 2014,190,MEAC,2014,224,15,16,100.4,105.5,67.5,0.005,101,106.9,46.6,35.6,66.9,12.6,8.7,11.1,50.9,29.4,49.5,26.1,61.2,8.6,8.7,9.7,49.3,28.7,46.5,18.4,36.1,41.5,48.6,19.8,34,44.7,77,2.19,24.5,75.9
Mount St. Mary's 2014,192,NEC,2014,209,16,17,107.8,111.7,68.2,0.031,102.7,107,54.6,33.4,73.4,6.7,10,8.9,45.3,23.9,50.2,35.5,73.9,8.3,8.2,8.5,46.1,43.4,51.5,16.7,27.8,36.7,53.5,18.9,33,34.5,76.3,1.75,26,54.8
Murray St. 2014,193,OVC,2014,135,23,11,109,105.8,66.2,0.032,104.3,108.8,49.8,32.2,67.6,10.5,8.2,8.7,46.2,28.9,52.2,37.6,66.7,9.1,8.9,9.1,49.8,35.7,53.7,18,33.7,45.9,49.4,17,32.7,35,76.2,1.52,22,28.1
N.C. State 2014,194,ACC,2014,62,22,14,114,102.4,64.7,0.065,108.4,100.7,47.3,32.1,71.2,10.8,7.3,10.2,47.7,30.6,51.5,30.5,65.7,8.1,8.7,7.2,49.1,25.5,50,15.8,34.2,37,47.5,17.5,35.7,42.6,78.2,1.06,34.9,20
Navy 2014,195,Pat,2014,308,9,21,93,106.8,61.8,-0.028,102.8,107.6,49.8,35.7,71.3,10.4,10.2,10.7,55.9,37.9,43.7,32.9,63,9.6,10.2,9.8,57.3,37.5,45.8,20,29.7,29.4,51.2,20.8,29.8,43.2,74.9,1.31,40.8,64.6
Nebraska 2014,196,B10,2014,56,19,13,108.8,96.1,64.7,0.047,108.4,99.1,47.7,31.5,68.1,9.3,10.6,8.4,50.9,35.6,47.4,33.3,71.7,9,8,8.7,42.3,33.5,48.3,16.7,25.7,42.3,47.6,19,29,44.8,77.1,1.37,29.4,42.9
Nebraska Omaha 2014,197,Sum,2014,177,17,15,104.5,105.4,72.2,-0.053,104.2,106.7,51.5,34.5,72.8,5.8,10.3,10.3,50.4,29.6,49.5,33.2,76.7,10,8.8,8.4,54.9,33.7,49.6,17.2,29.1,39.3,51.6,20.6,31.9,36.8,75.5,2.23,36.9,71.2
Nevada 2014,198,MWC,2014,143,15,17,109.5,107.3,63.4,0.027,107.3,104.1,50,33.5,74.9,12.6,7.5,8.4,56.3,36.7,48.5,33.9,72.9,8.8,7.3,8.2,43.6,34.5,49.3,15.5,31,38.2,50.1,15.9,31.8,40.4,77.4,2.02,24,48.7
New Hampshire 2014,199,AE,2014,328,6,24,88.7,106.4,61.2,-0.086,101.3,107.2,46.4,31.4,71.6,9.3,6.3,10.7,51.4,34.1,39.7,32.9,69.5,9.5,9.7,10.9,50.3,41.5,43.7,20.5,27.3,32.3,46.6,17,29.1,43.8,76.3,1.46,42,37.1
Air Force 2014,2,MWC,2014,252,12,18,99.6,106.6,63.6,0.056,105.4,104.8,51.1,33.7,70.8,9.4,8,9.7,58.4,40.2,49.6,32.9,69,15.1,10.6,9.9,60.7,41.9,49.5,20.5,26.4,37.1,50.9,17.8,30.2,43.9,77.1,1.61,24.7,26.4
Ball St. 2014,20,MAC,2014,296,5,25,96.5,109.6,65.9,-0.022,105.1,103.5,52.3,33.1,69.7,5.7,6.6,9.7,53.2,28.8,46.3,31.5,68.4,11.5,12.7,12.3,57.4,38.9,46.6,25,34,42.6,51.5,16.3,30.4,45.4,75.7,1.59,27.6,50.6
New Mexico 2014,200,MWC,2014,33,27,7,113.5,96.3,64.4,0.032,107.7,102.9,41.1,34.8,72.5,13.3,7.2,7.8,50,35,51.7,33.2,72.4,7.9,8.5,7.4,61.6,32,51.1,15.9,32.5,46.6,45,14.9,28.2,31.3,78.3,1.98,24.4,63.3
New Mexico St. 2014,201,WAC,2014,72,26,10,112.9,102.4,65.2,-0.03,103,106.7,42.7,33.3,73.3,13.4,6.9,9.3,39.7,23.1,52.9,36.1,68.4,6.6,8.2,10.5,50.3,26.7,53.2,18.7,37.7,53.9,44.4,16.1,33,34.1,77.7,1.92,31.6,56.5
New Orleans 2014,202,Slnd,2014,317,11,15,96.1,111.4,70.1,0.065,102.9,108.9,52.7,36.5,70.2,7,8.4,11.4,56.9,28.9,45.6,32.8,69.6,12.1,12.2,11.1,49.6,28.5,46.6,23.4,34.1,51.8,53.3,19.7,33.1,42.6,75.4,1.75,38.2,38
Niagara 2014,203,MAAC,2014,270,7,26,101.9,110.7,70.6,-0.025,105.3,105.8,53.3,38.4,70.1,5.6,9.4,10.8,54.7,31.7,48,30,68.2,10.1,8,10.5,39.5,28.4,47.2,18.5,32.1,48.6,54.7,20.2,34.5,50.6,75.5,1.45,31.9,42.5
Nicholls St. 2014,204,Slnd,2014,304,14,15,98,111.6,63.6,0.109,101.6,109.7,52.2,33.7,71,7.9,8.4,10.8,49.1,28.8,52.2,30.4,64.1,8.8,8.9,9.3,54.5,37.1,49.8,18.2,28.2,39.5,51.7,19.2,31.2,60.7,75.7,1.6,34,65.9
NJIT 2014,205,ind,2014,307,13,16,96.6,110.5,66.5,0.055,101.4,108.9,49.8,34.1,70,9,9.1,9.7,57.5,39.5,45,35.7,71.9,13.9,9,9.7,52.3,35.4,48,18.6,26.1,38.8,50.3,18.8,32.7,47.5,74.9,0.77,35.5,35.3
Norfolk St. 2014,206,MEAC,2014,258,19,15,102.9,110.3,62.7,0.042,100.5,108.1,47.8,34.7,71,11.4,9.5,9.7,53.6,38,49.5,34.4,68.5,9.2,9,11.3,53.7,29.2,50.1,20.4,37,38.4,49.4,19.1,33.1,44.6,78.2,2.68,30.4,66.9
North Carolina 2014,208,ACC,2014,29,24,10,112.6,94.2,69.2,0,110.5,101.6,46.7,31.7,67,12.5,10.4,8.9,46.2,34.1,49.7,33.6,62.6,8.4,8.4,8.5,54.9,21.1,49.9,16.9,38.1,42.9,47,19.3,31.3,41.4,77.5,1.19,31.1,55.9
North Carolina A&T 2014,209,MEAC,2014,334,9,23,93.7,113.3,65.3,0.036,99.4,107.1,47.8,35.9,68.8,11.8,6.7,11.2,59.7,37,41.9,29.5,69.5,12,9.9,12.1,47.2,34.8,42.7,22.1,33.4,58.6,50.1,17.9,32.1,54.4,76.4,1.83,31.5,38.7
Baylor 2014,21,B12,2014,26,26,12,118.9,99.5,61.3,0.012,111,100.6,46.4,35.6,67,14.1,7.8,8,61.7,32.7,48.3,38,68.1,8.1,8.2,9.7,58.1,34.3,51.3,17.8,40.1,44.8,48.7,15.8,32,32.3,77.7,2.02,29.9,60.5
North Carolina Central 2014,210,MEAC,2014,92,28,6,108.6,100.7,62.3,0.04,98.1,108.5,43.2,31,69.5,12,11.5,12.2,50.6,35.9,50.8,32.5,72.7,11.6,8,9.2,58.5,29.2,50.2,17.2,35.4,49.5,44.4,23.7,33.1,44.8,76.2,2.58,25.2,56.5
North Dakota 2014,211,BSky,2014,264,17,17,104.3,112.1,67.9,0.063,104,108.7,55.2,37.3,74.4,6.4,11.9,9,45.4,25.8,50.8,32,69.2,8.4,7.6,8.8,47.1,31.4,49.9,16.4,31,41.6,55.4,20.9,32.1,48.4,75.4,2.5,37.1,55.6
North Dakota St. 2014,212,Sum,2014,61,26,7,115.5,103.7,62.3,0.089,106.8,105.4,46.1,37.8,75.3,12.6,9.3,7.9,51,35,55.4,34.7,75.8,5.1,8,7.6,43.1,27,54.5,15.6,30.7,41.6,49.8,17.1,27.9,40.2,77.8,2.32,22.1,84.9
North Florida 2014,213,ASun,2014,263,16,16,103.3,111.1,66.7,0.089,102.3,106.1,50.1,36.3,66.1,8.9,7.3,8.2,45,27.4,47.4,35.4,70.1,11,11.8,10.1,49.8,35.3,49.4,21.9,34,40.5,51.3,15.5,31.1,40.2,77.3,1.38,31.6,39.2
North Texas 2014,214,CUSA,2014,232,16,16,99.4,104.9,66.9,0.047,103,105.8,47,35.5,67.5,9,9.3,8.3,45.6,30.4,44.8,34.2,68.3,9,8.2,9.9,42.1,26.3,46.5,18.1,29.2,41.3,48.9,17.6,30.5,42.5,76.8,2.22,39.6,37.6
Northeastern 2014,215,CAA,2014,203,11,21,101.4,104.5,63.2,-0.047,104.9,104.7,48.7,37.1,68.3,9,8.2,8.8,47.1,30.5,47.7,32.4,64.5,12.3,10.2,9.8,50.5,28.4,48,20,32.7,44.4,50.8,17.1,29.7,33.4,77,1.4,24.9,50.2
Northern Arizona 2014,216,BSky,2014,262,15,17,100.4,108.1,62.3,0.003,103.9,109.7,49.3,40.1,71.2,12,9.6,8.9,51.2,34.7,48.9,35,71.4,7.4,9.1,10.5,43.6,28.1,49.9,19.6,33.1,34.3,53,18.4,28,40.1,77.3,1.61,26.6,31.6
Northern Colorado 2014,217,BSky,2014,227,18,14,108.8,114.1,62.7,-0.017,102,109.9,52.8,37.9,73.1,6.1,8.9,10.1,51.9,33.7,52.7,37.9,69.5,9,7.4,9.8,44.9,28.3,53.9,17.2,33.9,37.6,54.1,19,31.3,40.8,74.9,2.03,31.6,64.4
Northern Illinois 2014,218,MAC,2014,208,15,17,94.4,98.3,61.5,0.019,102.9,105.2,47.3,30.5,66.1,10.7,10.1,10.7,51.6,38.3,43.2,27.6,68.3,10.9,10.8,12.2,41.7,30.3,42.6,22.9,35.9,50.6,46.7,20.8,31,47.1,76.6,1.42,35.2,50.8
Northern Iowa 2014,219,MVC,2014,95,16,15,113,105.1,64.1,-0.08,106.1,102.7,49.1,36.4,72.1,8.4,8.4,8.6,46.1,35.8,51.7,35.9,72.2,9.6,9,7.1,57,43.6,52.7,16.1,25.9,38.5,51.1,17.1,27.9,37.3,76.5,1.6,29.8,52.6
Belmont 2014,22,OVC,2014,97,26,10,113.9,106.8,67.7,0.058,104.9,106.3,52.1,34.5,69.6,6.7,9.8,10.7,49.9,35.4,56.9,39,74.1,9.9,10.5,8.1,57.5,41.9,57.6,18.6,28.2,41.2,52,20.5,33.3,42.9,77,1.79,27.8,42.2
Northern Kentucky 2014,220,ASun,2014,311,9,21,102.7,116.8,61.1,-0.044,101.8,108.4,51.7,37.7,70.1,8.6,8.3,8.5,46.5,33.8,49.4,34.9,70.6,12.3,8.8,9.1,47.4,40.4,50.6,17.8,28.4,35.7,53.3,16.8,32.2,48.8,75.4,0.87,40.7,26.6
Northwestern 2014,221,B10,2014,134,14,19,98.3,94.9,59.9,0.033,110.2,100.7,45.3,31.5,66.2,9.7,6.8,9.6,55.8,30.3,46.1,30.6,70,13.9,9.7,7.6,54.7,42.2,46.1,17.3,22.5,35.5,45.9,16.4,30.6,38,77.8,1.47,24.9,43.2
Northwestern St. 2014,222,Slnd,2014,185,17,14,108.6,109.9,74.2,-0.019,103.1,107.9,51,36.2,67.2,11.6,10.4,9.6,55.6,32.6,51.4,34,73.8,7.7,8.4,8.6,54.5,26.5,51.3,17,32.6,39.8,52.1,20,35.9,42.9,75,1.74,37.1,55.8
Notre Dame 2014,223,ACC,2014,96,15,17,113.5,105.8,62.7,-0.063,108.7,102.2,48.2,38.5,75.1,8.1,9,7.9,57,32.8,50.7,35.8,71.8,9.5,9.1,6.8,57.7,34.6,51.7,15.9,32.1,30,51.4,16.8,30.1,32.1,78,1.78,29.8,57.5
Oakland 2014,224,Horz,2014,194,13,20,109.9,112,67.1,0.025,105.8,102.1,55.8,39.3,71,5.2,9.9,9.7,61.6,39.8,47,36.6,72.4,10.5,8.2,7.8,63.1,40.4,50.2,16.1,25,37.7,57.1,19.7,30.5,42.9,76.6,1.84,20.1,60.6
Ohio 2014,225,MAC,2014,127,25,12,106.5,102.7,64.3,0.035,103.1,105.1,45.7,31.5,70.8,11,9.6,8.8,49.8,31,52.3,35.1,71.7,7.6,10,9.1,58.8,38.1,52.5,19.1,28.2,34.3,46.2,18.3,30.5,41.5,76.5,2.4,33.5,42.3
Ohio St. 2014,226,B10,2014,19,25,10,109.3,88,64,-0.043,109.2,101.4,45.9,29.3,71.1,12.2,11.8,10.1,43.8,31.6,51.1,32.4,68.9,8.3,6.3,10.9,49.9,32.9,50.3,17.2,29.6,42.3,45.2,21.9,29.6,29.8,77.5,2.15,28.5,72.7
Oklahoma 2014,227,B12,2014,30,23,10,117.9,100,69.6,-0.022,110.2,101,48.8,34.2,71.5,8.4,9.4,8.4,47.7,34.9,48.7,37.9,74.9,8.7,8.1,7.6,53.1,37,51.7,15.7,32.4,39.4,49.7,17.8,30.4,38.5,76.8,1.26,26.7,38
Oklahoma St. 2014,228,B12,2014,21,21,13,115.9,95,67.2,-0.11,109.9,100.8,45,32.7,68.7,12.2,10.8,9.3,46.6,33,51.3,36.4,71.9,9.6,8.6,6.1,51.6,33.8,52.4,14.7,28,49.7,46.3,20,32,41,76.2,1.61,25.2,76.2
Old Dominion 2014,229,CUSA,2014,175,18,18,100.7,101.4,62.5,0.005,103.6,105,45,35.8,67.2,11.4,9.7,10,48.6,32.3,47.2,32.6,62.1,10.6,9.8,10.6,46.3,30.3,47.7,20.4,34.1,39.3,47.8,19.7,30.5,44.6,76,1.05,27.6,52.5
Bethune Cookman 2014,23,MEAC,2014,337,7,25,96.5,116.8,60.7,-0.061,100.4,107.1,51.1,35.3,71.1,7.3,9.6,10.1,57.6,33.8,41.3,35.8,71.3,13.9,9.6,10.1,45,35.8,45.8,19.7,31.8,34.1,51.7,19.7,38.7,53.4,75.6,1.6,33.9,10.7
Oral Roberts 2014,230,Slnd,2014,188,17,16,108,109.6,62.8,-0.058,102.4,107.1,46.1,37.3,70,11.1,7.9,8.4,47.4,28,49.4,35.8,72.2,7.9,8.2,8.8,47.8,24.3,50.4,17,32.9,41.9,48.8,16.3,30.8,42.8,76.3,1.21,28.1,47.2
Oregon 2014,231,P12,2014,28,24,10,118.9,99.9,67.5,-0.037,109.1,101.8,49.4,32.4,70.9,8.7,10.9,8.1,50.4,32,51,38.9,77.2,9.5,6.9,9.2,53,33.7,53.5,16.1,32.2,43.8,49.1,18.9,31.9,47.8,75.9,2.22,32.2,38.4
Oregon St. 2014,232,P12,2014,107,16,16,112.5,106.7,65.5,0.005,108.6,102.8,48.5,36.8,69.7,11.5,7,8.2,55.4,30.8,52.3,39.2,69.5,8.6,9.2,10.3,52.1,26.7,54.1,19.5,31,50.9,50.6,15.2,32.2,36.8,78.3,1.78,37,56.7
Pacific 2014,233,WCC,2014,148,18,16,109.5,107.5,66.1,0.057,107.8,104.3,49.7,38.7,70.7,5.4,7.5,9.8,59.6,38.3,48.4,36.2,76.7,10.4,8.9,9.1,50.4,32.3,50.3,18,31.9,40.6,52.9,17.3,27.7,52.7,76.8,2.39,39.2,47.8
Penn 2014,234,Ivy,2014,257,8,20,99.1,106.6,68.2,-0.013,105.4,104.8,44.3,38.3,70.2,9.4,8.3,9.9,55.5,34.7,50.3,32.1,67.8,10.5,10.6,12.2,59.6,28.7,49.7,22.8,28.5,39.2,48.9,18.2,34.4,49.5,76.7,1.92,37.2,74.5
Penn St. 2014,235,B10,2014,81,16,18,110.3,101.3,64.4,-0.049,107.7,100.1,44.9,35.2,71.3,13.5,6.7,9.6,53.6,35.9,48.6,31.9,74.1,12,7.9,7.9,46.8,34.4,48.3,15.8,30.2,39.4,47.7,16.4,29.3,47.9,76.5,1.73,27.1,46.2
Pepperdine 2014,236,WCC,2014,159,15,16,107.8,106.9,64.9,0.025,107.1,104.2,47.5,36.7,67.6,10.7,6.9,8.2,55.8,32.2,49.5,36.2,70,10.4,10,8.1,55,32.5,51.1,18.1,30.9,39,50,15.1,32.5,38.3,76.1,1.37,34.2,34.3
Pittsburgh 2014,237,ACC,2014,16,26,10,116.9,95,62.2,-0.038,108,100.4,45.5,32.6,70.7,8.6,11.1,8.1,52.7,33.5,50.1,35.1,71.2,10.1,7.5,8.8,62.9,26.9,50.7,16.3,37.3,44.3,46.7,19.2,29.1,36.4,77.5,1.37,27.8,49.5
Portland 2014,238,WCC,2014,111,15,16,109.2,103.8,64.9,-0.11,106.3,105.5,45.8,36.9,69.8,10.9,8.6,8,52.1,32.4,47.9,39.4,73.5,7.6,10.3,6.9,58.3,27.3,50.9,17.1,32.1,39.5,48.9,16.6,29.6,43.7,77.3,1.82,33.4,65.6
Portland St. 2014,239,BSky,2014,278,17,15,102.3,111.7,64.9,0.063,102.8,110.9,52.9,36.4,72.2,5.1,8.6,10.9,54,28.7,50.5,36.1,73.3,9.1,8,9.1,50.7,32.3,51.7,17.1,26.5,39.6,53.3,19.5,32.8,41.5,74.5,2.28,27.2,32.3
Binghamton 2014,24,AE,2014,333,7,23,91.7,111.1,64.2,-0.018,100.9,107.5,49.6,38.5,68.5,6.2,9.2,10.5,61,39.6,41.5,32,69.3,10.6,11.1,10.3,47.7,36.6,43.9,21.5,29.1,44.2,52.8,19.8,32.4,40.8,75.5,0.95,33.5,40.3
Prairie View A&M 2014,240,SWAC,2014,325,11,23,96.1,113,65.9,0.005,100,108.3,51.7,34.7,67.7,6.8,10.1,9.4,54,31.2,44.8,33.9,64.6,11.1,9.8,10.7,44.6,33.6,46.8,20.4,31.1,40.6,51.8,19.5,36.9,50.1,76.2,2.33,34.6,31.3
Presbyterian 2014,241,BSth,2014,349,6,26,94.2,120,63.5,-0.017,101.7,109.6,52.7,37.7,69.9,7.1,6.5,8.5,50.4,36,49.2,34.7,68.2,8.3,10.5,8.7,47.2,31.1,50.1,19.2,21.9,30.6,54.1,15,34.5,28.3,76.3,1.06,22.8,36.1
Princeton 2014,242,Ivy,2014,100,21,9,106.4,99.9,63.2,0.014,104.1,106.2,47.5,32.8,73.3,9.4,9.5,9.2,46,28.8,52.1,35.7,72.5,11.4,9.3,7.8,60.7,47.8,52.8,17.1,25.4,38,48,18.8,25.6,37.4,78,1.76,33.4,51.7
Providence 2014,243,BE,2014,48,23,12,114.6,100.8,62.9,0.051,109.2,100.8,48.9,32.8,68.9,12,8.3,8,47.3,28.5,46.5,34.7,78.2,8.3,8.5,8.8,56.1,31.7,48.3,17.3,35.4,41.9,48.9,16.3,30.7,33.8,78.4,2.07,14.1,67.8
Purdue 2014,244,B10,2014,93,15,17,108.4,100.5,67.2,-0.04,108.7,100.8,46.6,32.6,71,13.8,8.1,8.6,53,33.8,46.5,32.7,67.1,12.3,9.7,8,51,27.9,47.2,17.7,36.1,38.1,47.4,16.7,30.6,41.9,76.9,1.34,39.9,52.8
Quinnipiac 2014,246,MAAC,2014,149,20,12,111.3,109.4,68.3,0.055,103.7,105.3,46.5,34.7,70.3,10.2,5,7,46,28.2,44.6,35.7,71.6,10.1,8.3,9.3,48.4,24.6,46.8,17.6,42.3,48.1,48,12,27.5,36.2,75.8,2.16,25.6,59.8
Radford 2014,247,BSth,2014,256,22,13,106.9,114.3,66.5,0.084,101.5,110.5,50.4,38.3,71.3,8.7,9.4,8.1,44.2,28.2,51.3,35.7,68.8,7.8,7.8,8,46,29.9,51.9,15.8,32.1,40.4,52.4,17.6,32.2,39,75.1,1.57,30.3,85.8
Rhode Island 2014,248,A10,2014,115,14,18,104.4,99.3,64.1,-0.067,106.8,102,48.5,28.6,67.1,13,7.4,10,43.6,28,49.2,31.5,65.4,11.4,10.7,10,50.7,27.7,48.7,20.8,32.8,46.3,46.9,17.4,31.3,43,76.9,1.31,24.9,28.6
Rice 2014,249,CUSA,2014,299,7,23,94.7,107.9,62.4,-0.007,103.9,104.5,48.3,34.7,70.8,5.3,6.8,10,55.5,33.5,47.9,32.4,64.3,10.5,10.4,9.2,65.2,45.9,48.2,19.6,21.3,31.9,49.5,16.8,30.5,46.4,76,1.06,31.4,56.8
Richmond 2014,250,A10,2014,91,19,14,105.3,97.3,61.8,0.026,107.5,102.5,46.2,30.1,70.1,11.5,8.9,11.1,46.3,31,48,32.2,66.9,10.3,8.2,8,46.5,36.5,48.1,16.2,26,41,45.9,20,34.3,40.4,75.7,1.54,33.3,66.5
Rider 2014,251,MAAC,2014,217,14,17,106.9,111.4,65.4,0.041,103.9,105.4,51.7,38.5,72,8.1,8.8,10.5,54.7,35.8,45.7,39.7,73.1,10.3,9.2,9.9,50.7,35,50.6,19.1,31.4,45.7,53.9,19.2,31.5,43.8,76.8,1.62,29.9,64.1
Robert Morris 2014,252,NEC,2014,173,22,14,105.8,106.5,64.2,0.093,104.7,107.6,52.7,33.5,70.4,5.4,10.5,8.6,58.3,39,46.5,38.5,72.8,11.1,8,9,50,34.6,50.4,17,30.9,36.6,51.8,19.1,31.6,38.4,75.7,2.1,37.4,53.4
Rutgers 2014,253,Amer,2014,170,12,21,106.5,106.9,66.4,-0.012,107.3,102.4,49.1,37.4,72.2,11.8,8.4,9.4,54,33.6,46,32.9,70.3,8.7,9.6,8.6,50.5,30.6,47,18.2,32.5,36.6,51.4,17.8,32.9,45,76.5,2.01,35.4,49.9
Sacramento St. 2014,254,BSky,2014,276,14,16,103.4,112.8,62.8,-0.008,102.6,109.6,53,34.9,70.3,3.7,8.1,10,56.5,32.3,48.8,37,73.6,7.6,8.4,9.2,53.2,30.8,50.9,17.6,29.9,35.1,52.7,18.1,31.1,48.5,76.3,1.6,29.8,45
Sacred Heart 2014,255,NEC,2014,301,5,26,99.3,112.7,65.9,-0.093,102.8,107.6,52.8,34.2,74.2,5.9,7.7,10.7,52.3,36.5,45.5,32.7,68.5,11,9,8.6,51.2,32.8,46.7,17.6,32.4,35.7,52.3,18.4,33,44.2,75.8,1.82,32.3,54.5
Saint Joseph's 2014,256,A10,2014,55,24,10,112.3,99.4,64.3,0.079,107.5,101.3,46,34.2,69.3,11.9,6.7,8.6,55.6,34.4,52.3,37.9,64.5,7.2,9.9,8.7,56.7,36.9,53.9,18.7,29.5,43.6,47.8,15.3,27.8,30.6,77.5,2.18,13.7,67.7
Saint Louis 2014,257,A10,2014,35,27,7,105.7,90,65.6,0.04,107.2,102.2,44.4,29.6,68.4,10,10.9,10.1,46.9,25.6,50.5,31.7,69.9,12.3,10.4,8.2,57.5,32.4,49.6,18.6,28.8,40.3,44.4,21,29,35.6,76.2,2.51,27.9,68
Saint Mary's 2014,258,WCC,2014,65,23,12,112.6,101.2,61.4,0.013,108.1,104.2,49.1,34.2,71,8.8,8.9,9.2,46,25.7,48.3,38.1,70.8,10.4,9.3,8.9,51.8,34.9,51.4,18.2,35.8,48,49.7,18.1,29.7,40.9,77,2.41,24.4,59.6
Saint Peter's 2014,259,MAAC,2014,238,14,17,98.1,103.9,60.5,0.059,104,106.8,46.4,33.3,69.9,12.4,10,8.1,51,34.1,45,31.6,70.4,9.1,8.8,9.9,46,31.9,45.8,18.7,30.9,42.2,47.6,18.1,31.6,40.8,76,1.46,26.2,32.8
Boise St. 2014,26,MWC,2014,73,21,13,114.6,104.1,63.9,-0.056,107,103.7,50.4,35.3,70.6,5.8,8.4,8.5,47.3,34.6,50.3,36.4,75.7,9.6,6.9,8,45.1,36.1,51.8,14.9,32.6,36.7,51.3,16.9,26.5,41.3,76.9,2.09,27.1,82.8
Sam Houston St. 2014,260,Slnd,2014,197,24,11,105.8,108.4,64.5,0.073,101.3,109.7,49.5,35.1,70.8,9,9.8,10.8,60.4,30,48.9,38.2,67.1,9.3,9,10,62.1,33.4,51.7,18.9,34,52.1,50.4,20.6,32.3,49.9,76.1,2.04,32.2,55.5
Samford 2014,261,SC,2014,321,13,20,100.9,116.6,65.3,0.011,101.4,108.8,52.3,36.8,68.3,7.9,8.3,8.8,54.5,33.4,53,32.6,67.3,10,9.4,9.5,52.7,27.6,51.8,18.9,27.1,38.9,53.3,17.1,33.7,49.1,76.4,1.18,29.1,64.3
San Diego 2014,262,WCC,2014,138,18,17,105.4,102.5,61.7,-0.02,107.3,105.3,47.9,35,70,10.8,8.5,9,52,32.9,47.9,38,69.7,8.6,9.1,9.6,50.7,34,51,18.7,28.5,41.5,49.4,17.5,30.7,37.7,76,1.67,26.2,53.6
San Diego St. 2014,263,MWC,2014,23,31,5,110.4,90,62.3,0.067,108,102.8,43.5,30.8,68.3,13.5,11.3,9.2,48.5,30.4,45.1,34.2,67.3,10.5,6.4,8.8,39.2,25.6,46.7,15.2,36.1,45.1,44.4,20.6,29.4,32.4,78.6,1.82,27.6,46.7
San Francisco 2014,264,WCC,2014,88,21,12,112.5,104.3,63.6,0.051,108,104,49.1,35.3,70.4,7,7.6,9.2,46.5,35.8,52.7,36,64.1,9.1,8.7,8.6,56.1,33.6,53.1,17.3,32.9,43.9,50.5,16.8,29.5,40.2,77.4,1.7,24.2,58.4
San Jose St. 2014,265,MWC,2014,289,7,24,94.5,106.3,64.1,-0.004,107.6,103.7,48.5,35.2,67.3,7.4,6.4,8.5,55.6,34,40.7,32.8,72,14,9.8,10.4,54.5,47.5,44.7,20.3,28.1,33,50,14.9,30.5,45.9,77.5,1.12,34.1,24.5
Santa Clara 2014,266,WCC,2014,154,14,19,107.3,106.1,63.8,-0.043,107.6,104.5,49.9,35.8,72.8,10.1,8.8,9.2,50.5,24.2,45.3,36.4,73.4,9.3,7.1,8.5,49.8,35.9,48.6,15.6,29,36.9,50.8,18,33.4,46.6,76.3,1.72,30.4,46.1
Savannah St. 2014,267,MEAC,2014,281,13,19,91.7,101.6,63,-0.038,101.3,107.9,45.4,30.3,70,13,10.3,11.2,50.6,28.6,46.3,30.8,65.3,11.5,10.9,13,46.9,30.3,46.3,23.9,31.9,38.9,45.4,21.4,35.1,49,76,1.92,39.1,27.8
Seattle 2014,268,WAC,2014,240,13,17,100.4,106.3,65.3,-0.065,103.4,108.1,47.5,34.8,72.7,8.8,8.8,9.4,53.8,33.3,47.1,34.2,65.9,8.9,9.8,10.3,53.2,38.1,48.7,20.1,36.4,33.8,49.1,18.3,31.2,48,76.5,1.74,36.5,45.3
Seton Hall 2014,269,BE,2014,94,17,17,108.8,100.9,64.2,-0.06,108.3,103.6,49.1,34.9,71.1,7.6,9.9,8.3,50.7,33.2,51.6,35.8,72.1,12.2,8.3,9.8,55.4,39.2,52.4,18.1,26.4,43.1,50.2,18.2,28.3,41.6,78.2,1.99,36.1,51.3
Boston College 2014,27,ACC,2014,142,8,24,114.3,111.8,61.2,-0.073,109.8,99.5,50.3,37.9,72.9,6.7,6.9,8.1,47.6,27.4,51.6,35.1,74.3,10.6,8.6,8.8,54.9,43.8,52.1,17.4,27.1,44.5,52.1,15,35.1,41.5,77.8,1.41,28.5,79
Siena 2014,270,MAAC,2014,164,20,18,101.6,101.3,64.6,0.041,105.8,106.2,45.3,33,67.7,12.6,8.6,10,47.4,31.8,44.8,32.8,72,12.3,10,10.2,56.6,23.8,45.8,20.2,38.4,41.7,46.6,18.6,34.9,51.5,76,0.92,29.4,43.1
SIU Edwardsville 2014,271,OVC,2014,290,11,20,100.6,112.5,65.4,-0.004,103.6,109.8,57.7,33.9,69.3,7.8,9.4,10,52.5,31.6,50.6,37.1,67.8,8.7,9.6,10.5,52.9,34.4,52.3,20.1,29.2,37.9,55.5,19.5,33.2,40.8,75.7,2.1,37.7,39.1
